"meanBWDY"	"medianBWDY"	"sdBWDY"	"quant2.5BWDY"	"quant25BWDY"	"quant50BWDY"	"quant75BWDY"	"quant97.5BWDY"	"GrazeTime"	"Plot"	"Sample"	"Year"	"Treatment"	"Block"
-0.442306126777366	-0.483050847457627	0.252222285002202	-0.754195993502978	-0.6	-0.483050847457627	-0.347150259067357	0.183673469387755	"1WK"	"12"	"3"	"2017"	"NO"	4
-0.485438750634184	-0.498771498771499	0.18238300777122	-0.753246753246753	-0.6	-0.498771498771499	-0.400651465798046	-0.100323624595469	"1WK"	"12"	"3"	"2018"	"NO"	4
-0.477420156891452	-0.520190023752969	0.240045651557824	-0.755952380952381	-0.627906976744186	-0.520190023752969	-0.392405063291139	0.102564102564103	"1WK"	"12"	"4"	"2017"	"NO"	4
-0.516924147797759	-0.529680365296804	0.15812218887805	-0.751448808757244	-0.613653995345229	-0.529680365296804	-0.446384039900249	-0.180811808118081	"1WK"	"12"	"4"	"2018"	"NO"	4
-0.509974351461375	-0.536555142503098	0.219646431332321	-0.765530126109295	-0.647446457990115	-0.536555142503098	-0.433021806853583	-0.00840336134453779	"1WK"	"12"	"5"	"2017"	"NO"	4
-0.453195455921085	-0.458885941644562	0.188816587632691	-0.744820340396093	-0.569713758079409	-0.458885941644562	-0.367521367521367	-0.0576923076923077	"1WK"	"12"	"5"	"2018"	"NO"	4
-0.595568951233144	-0.615271659324523	0.140002795965973	-0.767955801104972	-0.692205196535643	-0.615271659324523	-0.525821596244131	-0.317073170731707	"1WK"	"2"	"1"	"2017"	"LO"	1
-0.495004441030417	-0.517615176151762	0.188481881601542	-0.741772151898734	-0.617486338797814	-0.517615176151762	-0.41025641025641	-0.103448275862069	"1WK"	"2"	"1"	"2018"	"LO"	1
-0.604936162863661	-0.613508442776736	0.161552560105575	-0.792260692464358	-0.71900826446281	-0.613508442776736	-0.533333333333333	-0.296296296296296	"1WK"	"2"	"2"	"2017"	"LO"	1
-0.498814418076371	-0.525423728813559	0.189104330352948	-0.746276322547509	-0.617777777777778	-0.525423728813559	-0.420454545454545	-0.0843373493975903	"1WK"	"2"	"2"	"2018"	"LO"	1
-0.572057442351526	-0.592920353982301	0.185331922237868	-0.778601204261232	-0.678463094034378	-0.592920353982301	-0.511936339522546	-0.214285714285714	"1WK"	"2"	"3"	"2017"	"LO"	1
-0.494744472124754	-0.518987341772152	0.184235254872613	-0.739130434782609	-0.608775137111517	-0.518987341772152	-0.419624217118998	-0.0909090909090909	"1WK"	"2"	"3"	"2018"	"LO"	1
-0.582875847783697	-0.6015625	0.196093460226947	-0.805714285714286	-0.707616707616708	-0.6015625	-0.508515815085158	-0.206349206349206	"1WK"	"2"	"4"	"2017"	"LO"	1
-0.450293535571336	-0.473684210526316	0.193184478431415	-0.69799092676604	-0.55668358714044	-0.473684210526316	-0.395348837209302	0.00709219858156032	"1WK"	"2"	"4"	"2018"	"LO"	1
-0.573648350112231	-0.569506726457399	0.153612273454554	-0.799607072691552	-0.665519614590502	-0.569506726457399	-0.505944517833553	-0.291989664082687	"1WK"	"2"	"5"	"2017"	"LO"	1
-0.494113591597621	-0.511111111111111	0.128515043173105	-0.673243883188634	-0.558784676354029	-0.511111111111111	-0.453396524486572	-0.214953271028037	"1WK"	"2"	"5"	"2018"	"LO"	1
-0.515165559172023	-0.530201342281879	0.165994731895674	-0.742738589211618	-0.602160216021602	-0.530201342281879	-0.459459459459459	-0.185770750988142	"1WK"	"3"	"1"	"2017"	"HI"	1
-0.51882697354674	-0.549463647199046	0.184773940201456	-0.745635910224439	-0.63355408388521	-0.549463647199046	-0.448692152917505	-0.105527638190955	"1WK"	"3"	"1"	"2018"	"HI"	1
-0.595694601419505	-0.612046058458813	0.163973315975457	-0.795591182364729	-0.704095112285337	-0.612046058458813	-0.518624641833811	-0.282051282051282	"1WK"	"3"	"2"	"2017"	"HI"	1
-0.513385889234868	-0.538461538461538	0.173730619977818	-0.74061433447099	-0.623529411764706	-0.538461538461538	-0.44	-0.140684410646388	"1WK"	"3"	"2"	"2018"	"HI"	1
-0.552041823980676	-0.592279855247286	0.24060623422563	-0.79476861167002	-0.694915254237288	-0.592279855247286	-0.481481481481481	0	"1WK"	"3"	"3"	"2017"	"HI"	1
-0.493747978623538	-0.515892420537897	0.195852654472963	-0.749303621169916	-0.612200435729848	-0.515892420537897	-0.417624521072797	-0.0714285714285714	"1WK"	"3"	"3"	"2018"	"HI"	1
-0.556476875389363	-0.563593932322054	0.188322080234264	-0.817531305903399	-0.653042688465032	-0.563593932322054	-0.498470948012232	-0.19047619047619	"1WK"	"3"	"4"	"2017"	"HI"	1
-0.487380918701102	-0.527377521613833	0.216622752549498	-0.736756241630831	-0.616161616161616	-0.527377521613833	-0.418181818181818	0.024390243902439	"1WK"	"3"	"4"	"2018"	"HI"	1
-0.519583318088812	-0.541218637992832	0.255374681270928	-0.811234237676729	-0.682445766740921	-0.541218637992832	-0.435406698564593	0.0673575129533679	"1WK"	"3"	"5"	"2017"	"HI"	1
-0.479333223101481	-0.514792899408284	0.219553841771196	-0.744708709570327	-0.607324516785351	-0.514792899408284	-0.410018552875696	0.036144578313253	"1WK"	"3"	"5"	"2018"	"HI"	1
-0.488459248595303	-0.487236403995561	0.222155811489512	-0.783327255705373	-0.671732522796353	-0.487236403995561	-0.368078175895765	-0.033210332103321	"1WK"	"4"	"1"	"2017"	"NO"	2
-0.538272586350721	-0.54672395273899	0.101623845032824	-0.720430107526882	-0.584327086882453	-0.54672395273899	-0.503928170594837	-0.315789473684211	"1WK"	"4"	"1"	"2018"	"NO"	2
-0.473370815036393	-0.497695852534562	0.237358237929302	-0.792026304973284	-0.626139817629179	-0.497695852534562	-0.372549019607843	0.0673684903837557	"1WK"	"4"	"2"	"2017"	"NO"	2
