"GrazeTime"	"Block"	"Treatment"	"Plot"	"Sample"	"SampDate"	"NO3_t0Nmin_ppm"	"NH4_t0Nmin_ppm"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NO3_t0Nmin_mgg"	"NH4_t0Nmin_mgg"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"minN_mgg"
"4WK"	4	"LO"	11	3	2017-08-10	0.005	0.064	65.86	1.376	0.026917904	0.344549169	354.562629	7.407807129	44.81	5.605	194.8044246	24.36685561	0	16.95904848	0	31.40564534	0.371467073
"PRE"	4	"LO"	11	4	2017-07-05	0	0.156	42.03	2.372	0	0.826639358	222.7157193	12.56915741	55.7	4.961	230.3463997	20.51613086	7.630680445	7.946973447	16.95706765	14.71661749	0.805443477
"24H"	4	"LO"	11	4	2017-07-14	0.045	0.144	47.23	3.211	0.220115339	0.704369084	231.0232767	15.70645229	72.64	7.275	306.557325	30.702155	75.53404828	14.99570272	167.8534406	27.76981984	0.924484423
"1WK"	4	"LO"	11	4	2017-07-20	0.072	0.12	26.18	1.68	0.373197534	0.62199589	135.6987699	8.707942455	48.7	3.236	210.0299266	13.95599266	74.33115663	5.248050201	165.1803481	9.718611483	0.995193424
"4WK"	4	"LO"	11	4	2017-08-10	0	0.081	45.65	1.879	0	0.447593268	252.2547247	10.38305866	64.51	6.372	284.7009876	28.12144928	32.44626289	17.73839062	72.10280641	32.84887152	0.447593268
"PRE"	4	"LO"	11	5	2017-07-05	0.007	0.166	39.29	2.362	0.036574155	0.86732997	205.2855092	12.341165	56.32	4.716	235.1813673	19.69309886	29.89585803	7.351933865	66.43524007	13.61469234	0.903904125
"24H"	4	"LO"	11	5	2017-07-14	0.024	0.103	32.26	2.045	0.121144632	0.519912377	162.8385757	10.32253215	55.09	5.415	243.1788031	23.90294462	80.34022746	13.58041247	178.5338388	25.14891197	0.641057009
"1WK"	4	"LO"	11	5	2017-07-20	0.056	0.151	26.57	1.38	0.287907134	0.776321023	136.6016529	7.094854382	40.57	2.998	174.4651408	12.89244496	37.86348791	5.797590577	84.14108424	10.73627885	1.064228157
"4WK"	4	"LO"	11	5	2017-08-10	0.037	0.024	20	1.078	0.216289056	0.140295604	116.9130033	6.30161088	41.15	5.023	185.7048338	22.66817449	68.79183049	16.36656361	152.8707344	30.30845113	0.35658466
"PRE"	4	"NO"	12	1	2017-07-05	0.006	0.171	54.94	3.279	0.030866157	0.879685481	282.6311131	16.86835493	72.82	5.851	310.5656492	24.95357887	27.93453609	8.085223941	62.07674686	14.97263693	0.910551638
"24H"	4	"NO"	12	1	2017-07-14	0.045	0.091	55.24	2.957	0.222750692	0.4504514	273.4388496	14.63719548	55.52	4.189	234.8463576	17.71922536	0	3.082029886	0	5.707462752	0.673202092
"1WK"	4	"NO"	12	1	2017-07-20	0.042	0.155	49	2.052	0.212538619	0.784368712	247.9617218	10.38402966	57.41	3.896	253.8862368	17.22941611	5.924515007	6.84538645	13.1655889	12.67664157	0.996907331
"4WK"	4	"NO"	12	1	2017-08-10	0.008	0.073	30.64	1.892	0.045434731	0.414591923	174.0150209	10.74531395	55.77	7.205	252.5429836	32.62636179	78.52796277	21.88104784	174.5065839	40.52045896	0.460026654
"PRE"	4	"NO"	12	2	2017-07-05	0.003	0.162	43.12	2.482	0.016199565	0.874776522	232.8417507	13.40244029	60.58	5.591	254.9674359	23.53124685	22.1256852	10.12880656	49.16818933	18.75704919	0.890976087
"24H"	4	"NO"	12	2	2017-07-14	0.045	0.134	43.72	2.479	0.222680345	0.663092583	216.3463262	12.26721278	65.19	7.122	269.7560219	29.47081436	53.40969565	17.20360158	118.6882126	31.85852144	0.885772928
"1WK"	4	"NO"	12	2	2017-07-20	0.008	0.136	183.05	2.34	0.041085392	0.698451657	940.0851164	12.01747704	48.98	2.623	213.1202784	11.4131174	0	0	0	0	0.739537049
"4WK"	4	"NO"	12	2	2017-08-10	0.034	0.066	27.47	1.438	0.189666574	0.36817629	153.2394347	8.021780381	56.7	7.247	248.2562907	31.73039399	95.01685606	23.70861361	211.148569	43.90484001	0.557842864
"PRE"	4	"NO"	12	3	2017-07-05	0.003	0.245	53.39	2.923	0.015899546	1.298462901	282.9589155	15.49145739	71.83	6.279	287.5681288	25.13769011	4.60921329	9.646232722	10.2426962	17.86339393	1.314362447
"24H"	4	"NO"	12	3	2017-07-14	0.007	0.114	61.74	2.296	0.034900683	0.568382552	307.8240244	11.44742404	62.53	5.361	269.193781	23.0792877	0	11.63186366	0	21.54048826	0.603283235
"1WK"	4	"NO"	12	3	2017-07-20	0.028	0.132	254.55	1.524	0.141426254	0.666723769	1285.716178	7.697628972	51.42	2.687	221.4298757	11.57102443	0	3.873395453	0	7.172954543	0.808150023
"4WK"	4	"NO"	12	3	2017-08-10	0.04	0.559	38.16	3.606	0.221819344	3.099925334	211.6156543	19.99701387	50.18	5.227	230.2798561	23.98710258	18.66420177	3.990088711	41.47600394	7.389053169	3.321744678
"PRE"	4	"NO"	12	4	2017-07-05	0	0.192	77.74	3.972	0	1.008450917	408.3175744	20.86232835	96.19	8.218	410.5190969	35.07273042	2.201522511	14.21040207	4.892272246	26.31555939	0.982189174
"24H"	4	"NO"	12	4	2017-07-14	0.016	0.09	72.43	3.132	0.079055332	0.444686242	357.8736055	15.47508122	73.79	4.85	313.4473822	20.60197593	0	5.126894711	0	9.494249465	0.523741574
"1WK"	4	"NO"	12	4	2017-07-20	0.005	0.134	73.39	1.236	0.025764899	0.690499282	378.1771814	6.369082929	40.24	2.57	172.7431718	11.03255347	0	4.663470536	0	8.636056549	0.716264181
"4WK"	4	"NO"	12	4	2017-08-10	0.035	0.046	20.82	1.046	0.186168347	0.244678399	110.7435711	5.563774032	44.22	5.241	190.6828259	22.59992516	79.93925484	17.03615113	177.6427885	31.54842802	0.430846746
"PRE"	4	"NO"	12	5	2017-07-05	0.015	0.3	46.47	3.537	0.07857154	1.571430802	243.4146313	18.52716916	83.14	8.768	339.8339401	35.83911459	96.41930885	17.31194543	214.2651308	32.05915821	1.650002342
"24H"	4	"NO"	12	5	2017-07-14	0.069	0.071	23.58	1.856	0.344718299	0.354710133	117.8037316	9.27242264	54.08	6.09	229.4934007	25.84346913	111.6896691	16.57104649	248.1992648	30.68712313	0.699428432
"1WK"	4	"NO"	12	5	2017-07-20	0.025	0.138	147.75	1.364	0.127754766	0.705206308	755.0306667	6.97030003	40.71	3.061	177.5151358	13.34742891	0	6.377128877	0	11.80949792	0.832961074
"4WK"	4	"NO"	12	5	2017-08-10	0.066	0.016	26.18	1.142	0.363474309	0.088114984	144.1781427	6.289206988	43.38	5.047	188.5164459	21.93274556	44.33830324	15.64353858	98.52956275	28.96951588	0.451589293
"PRE"	1	"LO"	2	1	2017-07-03	0.013	0.184	30.32	1.998	0.068835602	0.974288521	160.5458041	10.57950253	63.88	5.611	278.102397	24.42756026	117.5565929	13.84805774	261.2368731	25.64455136	1.043124123
"24H"	1	"LO"	2	1	2017-07-11	0.005	0.105	30.84	2.426	0.02469468	0.518588286	152.3167879	11.98185887	56.51	5.789	237.4394463	24.3237826	85.12265838	12.34192373	189.1614631	22.85541431	0.543282966
"1WK"	1	"LO"	2	1	2017-07-17	0.016	0.099	42.47	2.749	0.080330316	0.497043833	213.2267836	13.80175249	NA	NA	NA	NA	NA	NA	NA	NA	0.577374149
"4WK"	1	"LO"	2	1	2017-08-07	0.092	0.055	30.49	2.121	0.511663223	0.305885622	169.571866	11.79606191	79.05	7.33	349.6847442	32.4249105	180.1128782	20.62884858	400.2508404	38.20157145	0.817548845
"PRE"	1	"LO"	2	2	2017-07-03	0.01	0.278	47.52	2.788	0.053063246	1.475158251	252.1565471	14.79403311	92.97	8.988	382.7748436	37.00527368	130.6182965	22.21124057	290.2628811	41.13192698	1.528221497
"24H"	1	"LO"	2	2	2017-07-11	0	0.093	32.4	2.229	0	0.461973373	160.9455621	11.07245858	63.97	5.906	269.2031068	24.85404953	108.2575446	13.78159095	240.5723214	25.52146473	0.452038462
"1WK"	1	"LO"	2	2	2017-07-17	0.016	0.113	70.35	2.436	0.081789794	0.577640419	359.6194998	12.45249611	97.71	4.298	426.5401039	18.76235152	66.92060407	6.309855402	148.7124535	11.68491741	0.659430213
"4WK"	1	"LO"	2	2	2017-08-07	0.032	0.03	28.94	1.554	0.17332582	0.162492956	156.7515384	8.417135129	72.54	4.668	307.0125031	19.75647042	150.2609648	11.3393353	333.913255	20.99876907	0.335818776
"PRE"	1	"LO"	2	3	2017-07-03	0	0.249	46.98	2.722	0	1.244495097	234.8047376	13.60448054	79.38	6.003	316.5738611	23.94044959	81.76912347	10.33596905	181.7091633	19.14068342	1.239497125
"24H"	1	"LO"	2	3	2017-07-11	0.004	0.047	30.22	2.044	0.020208929	0.237454921	152.6784622	10.32676296	62.99	5.667	272.9939049	24.5603502	120.3154427	14.23358724	267.3676505	26.35849489	0.25766385
"1WK"	1	"LO"	2	3	2017-07-17	0.069	0.074	37.93	1.861	0.340553973	0.365231797	187.2059736	9.185086129	NA	NA	NA	NA	NA	NA	NA	NA	0.70578577
"4WK"	1	"LO"	2	3	2017-08-07	0.063	0.053	26.51	1.891	0.329729981	0.277391889	138.7482826	9.897133251	88.03	6.91	354.4601799	27.82369468	215.7118972	17.92656143	479.3597716	33.19733599	0.60712187
"PRE"	1	"LO"	2	4	2017-07-03	0.007	0.247	39.92	2.205	0.03574927	1.261438542	203.8729822	11.26102018	84.26	6.29	345.9696788	25.82659957	142.0966966	14.56557938	315.7704368	26.97329515	1.297187812
"24H"	1	"LO"	2	4	2017-07-11	0.002	0.098	69.85	2.327	0.010150667	0.497382662	354.5120301	11.81030056	56.53	5.045	248.1371596	22.14491367	0	10.33461311	0	19.13817243	0.507533329
"1WK"	1	"LO"	2	4	2017-07-17	0.1	0.106	38.04	2.412	0.494759806	0.524445395	188.2066304	11.93360653	NA	NA	NA	NA	NA	NA	NA	NA	1.019205201
"4WK"	1	"LO"	2	4	2017-08-07	0.001	0.042	19.5	1.388	0.005225449	0.219468871	101.8962613	7.252923626	60.02	4.682	251.1357849	19.59043227	149.2395236	12.33750864	331.6433857	22.84723823	0.22469432
"PRE"	1	"LO"	2	5	2017-07-03	0.001	0.203	49.6	2.771	0.005130117	1.041413772	254.4538084	14.2155545	69.66	6.051	299.7433846	26.03714069	45.28957617	11.82158619	100.6435026	21.89182627	1.046543889
"24H"	1	"LO"	2	5	2017-07-11	0.026	0.072	28.93	2.328	0.133511063	0.369722943	148.5567325	11.95437516	65.98	6.061	275.5933283	25.3163256	127.0365958	13.36195044	282.3035462	24.74435266	0.503234006
"1WK"	1	"LO"	2	5	2017-07-17	0.013	0.094	52.11	2.715	0.066554308	0.481238843	266.7803843	13.89961127	94.39	4.551	410.6170812	19.79784232	143.836697	5.898231052	319.6371044	10.9226501	0.547793151
"4WK"	1	"LO"	2	5	2017-08-07	0.005	0.014	24.86	1.471	0.026651659	0.074624644	132.5120465	7.840917958	67.44	5.478	287.0435137	23.31590107	154.5314672	15.47498311	343.4032604	28.65737613	0.101276303
"PRE"	1	"HI"	3	1	2017-07-03	0.053	0.279	44.91	3.426	0.275253954	1.448978359	233.2387746	17.79283103	74.19	8.021	307.0863607	33.20042727	73.8475861	15.40759623	164.1057469	28.53258562	1.724232313
"24H"	1	"HI"	3	1	2017-07-11	0.072	0.105	41.28	3.276	0.366302088	0.534190544	210.0131969	16.66674499	63.26	5.53	268.4505868	23.4671474	58.43738985	6.800402416	129.8608663	12.59333781	0.900492632
"1WK"	1	"HI"	3	1	2017-07-17	0.055	0.081	31.95	2.312	0.281323936	0.414313433	163.4236318	11.82583526	NA	NA	NA	NA	NA	NA	NA	NA	0.695637369
"4WK"	1	"HI"	3	1	2017-08-07	0.014	0.045	34.36	1.882	0.076513255	0.245935463	187.7853892	10.28556759	67.9	5.213	302.2471508	23.20492485	114.4617616	12.91935726	254.3594703	23.92473566	0.322448718
"PRE"	1	"HI"	3	2	2017-07-03	0.003	0.243	48.52	2.417	0.015256071	1.235741766	246.7415246	12.29130802	80.63	7.54	312.2320336	29.19793542	65.49050899	16.90662741	145.5344644	31.30856927	1.250997837
"24H"	1	"HI"	3	2	2017-07-11	0	0.087	54.98	2.846	0	0.43380887	274.1472605	14.19103498	72.59	5.657	311.4242406	24.26955406	37.27698011	10.07851907	82.83773357	18.66392421	0.418849943
"1WK"	1	"HI"	3	2	2017-07-17	0.074	0.144	42.76	2.771	0.369401389	0.718835136	213.4541002	13.83258446	NA	NA	NA	NA	NA	NA	NA	NA	1.088236525
"4WK"	1	"HI"	3	2	2017-08-07	0.023	0.039	25.29	1.67	0.116964427	0.198330985	128.610016	8.492634507	66.19	4.876	280.0744851	20.63216784	151.4644691	12.13953333	336.5877092	22.48061728	0.315295412
"PRE"	1	"HI"	3	3	2017-07-03	0.031	0.297	45.88	3.176	0.165610591	1.586656311	245.1036752	16.9670722	76.2	8.354	338.4132071	37.10110147	93.30953193	20.13402928	207.3545154	37.2852394	1.752266902
"24H"	1	"HI"	3	3	2017-07-11	0.005	0.076	59.16	3.533	0.026563262	0.403761581	314.2965151	18.76960088	110.31	9.88	496.1978485	44.44234198	181.9013334	25.6727411	404.2251854	47.54211315	0.430324843
"1WK"	1	"HI"	3	3	2017-07-17	0.048	0.112	40.01	2.362	0.236666709	0.55222232	197.2715628	11.64597429	NA	NA	NA	NA	NA	NA	NA	NA	0.788889029
"4WK"	1	"HI"	3	3	2017-08-07	0.033	0.057	29.09	1.994	0.175837557	0.303719417	155.0034711	10.6248512	80.9	6.546	332.2365959	26.88282765	177.2331248	16.25797645	393.8513884	30.10736379	0.479556974
"PRE"	1	"HI"	3	4	2017-07-03	0.012	0.288	54.56	3.57	0.061558185	1.477396437	279.8845472	18.31356	78.08	7.469	319.6786865	30.57991944	39.79413929	12.26635944	88.43142065	22.71548044	1.538954622
"24H"	1	"HI"	3	4	2017-07-11	0.017	0.079	32.92	2.503	0.101848642	0.473296629	197.226899	14.99571471	70.73	7.312	363.9777649	37.62767449	166.7508659	22.63195978	370.5574797	41.91103664	0.575145271
"1WK"	1	"HI"	3	4	2017-07-17	0.066	0.108	39.05	2.517	0.338354536	0.553671059	200.1931005	12.90361163	NA	NA	NA	NA	NA	NA	NA	NA	0.892025595
"4WK"	1	"HI"	3	4	2017-08-07	0.057	0.053	64.01	1.501	0.294360597	0.273703713	330.5617864	7.751495725	82.23	5.902	341.5156855	24.5120464	10.95389908	16.76055068	24.34199795	31.03805681	0.56806431
"PRE"	1	"HI"	3	5	2017-07-03	0	0.153	82.68	3.21	0	0.844158042	456.1763853	17.71076677	109.61	7.4	491.1526423	33.15874056	34.97625699	15.44797379	77.72501553	28.60735887	0.805536432
