"GrazeTime"	"Plot"	"Sample"	"Block"	"Treatment"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"
"183"	"PRE"	1	3	1	"NO"	0	7.968277382	0	14.75606923
"184"	"PRE"	1	4	1	"NO"	26.81470681	12.15399962	59.58823735	22.5074067
"185"	"PRE"	1	5	1	"NO"	0	1.20567393	0	2.2327295
"186"	"PRE"	10	1	4	"HI"	123.4630664	15.27755069	274.3623698	28.29176053
"187"	"PRE"	10	2	4	"HI"	33.38305469	10.88251213	74.18456597	20.15280025
"188"	"PRE"	10	3	4	"HI"	0	4.19659064	0	7.771464149
"189"	"PRE"	10	4	4	"HI"	0	4.434705834	0	8.212418211
"190"	"PRE"	10	5	4	"HI"	0	8.680919641	0	16.07577711
"191"	"PRE"	11	1	4	"LO"	6.005840687	11.15376599	13.34631264	20.65512221
"192"	"PRE"	11	2	4	"LO"	31.49277551	9.552870771	69.98394557	17.69050143
"193"	"PRE"	11	3	4	"LO"	75.73979833	10.918834	168.310663	20.22006297
"194"	"PRE"	11	4	4	"LO"	7.630680445	7.946973447	16.95706765	14.71661749
"195"	"PRE"	11	5	4	"LO"	29.89585803	7.351933865	66.43524007	13.61469234
"196"	"PRE"	12	1	4	"NO"	27.93453609	8.085223941	62.07674686	14.97263693
"197"	"PRE"	12	2	4	"NO"	22.1256852	10.12880656	49.16818933	18.75704919
"198"	"PRE"	12	3	4	"NO"	4.60921329	9.646232722	10.2426962	17.86339393
"199"	"PRE"	12	4	4	"NO"	2.201522511	14.21040207	4.892272246	26.31555939
"200"	"PRE"	12	5	4	"NO"	96.41930885	17.31194543	214.2651308	32.05915821
"201"	"PRE"	2	1	1	"LO"	117.5565929	13.84805774	261.2368731	25.64455136
"202"	"PRE"	2	2	1	"LO"	130.6182965	22.21124057	290.2628811	41.13192698
"203"	"PRE"	2	3	1	"LO"	81.76912347	10.33596905	181.7091633	19.14068342
"204"	"PRE"	2	4	1	"LO"	142.0966966	14.56557938	315.7704368	26.97329515
"205"	"PRE"	2	5	1	"LO"	45.28957617	11.82158619	100.6435026	21.89182627
"206"	"PRE"	3	1	1	"HI"	73.8475861	15.40759623	164.1057469	28.53258562
"207"	"PRE"	3	2	1	"HI"	65.49050899	16.90662741	145.5344644	31.30856927
"208"	"PRE"	3	3	1	"HI"	93.30953193	20.13402928	207.3545154	37.2852394
"209"	"PRE"	3	4	1	"HI"	39.79413929	12.26635944	88.43142065	22.71548044
"210"	"PRE"	3	5	1	"HI"	34.97625699	15.44797379	77.72501553	28.60735887
"211"	"PRE"	4	1	2	"NO"	0	11.64778117	0	21.56996512
"212"	"PRE"	4	2	2	"NO"	1.272688527	10.05714594	2.828196726	18.62434433
"213"	"PRE"	4	3	2	"NO"	42.45439884	13.9426231	94.34310853	25.8196724
"214"	"PRE"	4	4	2	"NO"	14.04888669	11.35842812	31.2197482	21.03412615
"215"	"PRE"	4	5	2	"NO"	58.35683429	16.78344482	129.681854	31.08045337
"216"	"PRE"	5	1	2	"LO"	132.5508501	13.20777025	294.5574446	24.45883379
"217"	"PRE"	5	2	2	"LO"	260.4024599	25.72114344	578.672133	47.63174711
"218"	"PRE"	5	3	2	"LO"	287.7052511	30.42821384	639.3450025	56.34854415
"219"	"PRE"	5	4	2	"LO"	122.5060548	22.35989857	272.2356773	41.40721958
"220"	"PRE"	5	5	2	"LO"	201.5087928	22.02849235	447.7973173	40.79350436
"221"	"PRE"	6	1	2	"HI"	242.3203311	24.74402167	538.4896247	45.82226235
"222"	"PRE"	6	2	2	"HI"	135.6512189	18.43627772	301.4471531	34.14125505
"223"	"PRE"	6	3	2	"HI"	139.4619198	17.94841412	309.9153774	33.23780393
"224"	"PRE"	6	4	2	"HI"	151.3150075	19.31747082	336.2555722	35.7730941
"225"	"PRE"	6	5	2	"HI"	287.1159234	34.26764115	638.0353853	63.45859472
"226"	"PRE"	7	1	3	"LO"	230.4717916	26.50497471	512.159537	49.0832865
"227"	"PRE"	7	2	3	"LO"	0	8.055003023	0	14.91667227
"228"	"PRE"	7	3	3	"LO"	137.2728053	18.82310212	305.0506784	34.85759652
"229"	"PRE"	7	4	3	"LO"	0	14.24844407	0	26.38600754
"230"	"PRE"	7	5	3	"LO"	122.4442993	17.59923056	272.0984428	32.5911677
"231"	"PRE"	8	1	3	"NO"	90.4715703	18.48993063	201.047934	34.24061228
"232"	"PRE"	8	2	3	"NO"	0	0	0	0
"233"	"PRE"	8	3	3	"NO"	137.7543115	20.03899342	306.1206922	37.10924708
"234"	"PRE"	8	4	3	"NO"	0	12.66309875	0	23.45018288
"235"	"PRE"	8	5	3	"NO"	267.4144415	23.03715464	594.2543143	42.66139749
"236"	"PRE"	9	1	3	"HI"	59.57388081	13.53514205	132.3864018	25.06507787
"237"	"PRE"	9	2	3	"HI"	74.71385642	12.16673338	166.030792	22.53098774
"238"	"PRE"	9	3	3	"HI"	123.6321378	18.47040742	274.7380841	34.20445819
"239"	"PRE"	9	4	3	"HI"	101.8321961	15.10470518	226.2937691	27.97167626
"240"	"PRE"	9	5	3	"HI"	80.91759391	14.88882739	179.8168753	27.57190258
