"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"2"	"1"	"LO"	"1WK"	"1"	"BG"	624.2825015
"2"	"1"	"LO"	"4WK"	"1"	"BG"	731.8732178
"2"	"1"	"LO"	"PRE"	"1"	"BX"	17.43730867
"2"	"1"	"LO"	"24H"	"1"	"BX"	83.92102732
"2"	"1"	"LO"	"1WK"	"1"	"BX"	98.16760947
"2"	"1"	"LO"	"4WK"	"1"	"BX"	106.9929525
"2"	"1"	"LO"	"PRE"	"1"	"CBH"	10.78937063
"2"	"1"	"LO"	"24H"	"1"	"CBH"	35.12116625
"2"	"1"	"LO"	"1WK"	"1"	"CBH"	74.71134585
"2"	"1"	"LO"	"4WK"	"1"	"CBH"	74.07683426
"2"	"1"	"LO"	"PRE"	"1"	"LAP"	406.7934884
"2"	"1"	"LO"	"24H"	"1"	"LAP"	511.3419604
"2"	"1"	"LO"	"1WK"	"1"	"LAP"	777.8341482
"2"	"1"	"LO"	"4WK"	"1"	"LAP"	826.1505626
"2"	"1"	"LO"	"PRE"	"1"	"NAG"	0
"2"	"1"	"LO"	"24H"	"1"	"NAG"	4.363528788
"2"	"1"	"LO"	"1WK"	"1"	"NAG"	177.3169392
"2"	"1"	"LO"	"4WK"	"1"	"NAG"	44.04135026
"2"	"1"	"LO"	"PRE"	"1"	"PER1"	4.979316285
"2"	"1"	"LO"	"24H"	"1"	"PER1"	3.480749039
"2"	"1"	"LO"	"1WK"	"1"	"PER1"	5.149545351
"2"	"1"	"LO"	"4WK"	"1"	"PER1"	0.73108155
"2"	"1"	"LO"	"PRE"	"1"	"PEROX"	13.17226852
"2"	"1"	"LO"	"24H"	"1"	"PEROX"	8.525495031
"2"	"1"	"LO"	"1WK"	"1"	"PEROX"	7.663738208
"2"	"1"	"LO"	"4WK"	"1"	"PEROX"	9.592954302
"2"	"1"	"LO"	"PRE"	"1"	"PHENOX"	8.192952231
"2"	"1"	"LO"	"24H"	"1"	"PHENOX"	5.044745991
"2"	"1"	"LO"	"1WK"	"1"	"PHENOX"	2.514192857
"2"	"1"	"LO"	"4WK"	"1"	"PHENOX"	8.861872752
"2"	"1"	"LO"	"PRE"	"1"	"PHOS"	260.2496201
"2"	"1"	"LO"	"24H"	"1"	"PHOS"	8.384816705
"2"	"1"	"LO"	"1WK"	"1"	"PHOS"	361.0839542
"2"	"1"	"LO"	"4WK"	"1"	"PHOS"	63.15315827
"2"	"1"	"LO"	"PRE"	"2"	"AG"	52.55323178
"2"	"1"	"LO"	"24H"	"2"	"AG"	10.96926209
"2"	"1"	"LO"	"1WK"	"2"	"AG"	7.539419931
"2"	"1"	"LO"	"4WK"	"2"	"AG"	0
"2"	"1"	"LO"	"PRE"	"2"	"BG"	659.2120561
"2"	"1"	"LO"	"24H"	"2"	"BG"	499.4824042
"2"	"1"	"LO"	"1WK"	"2"	"BG"	319.2899581
"2"	"1"	"LO"	"4WK"	"2"	"BG"	280.9733632
"2"	"1"	"LO"	"PRE"	"2"	"BX"	146.3997722
"2"	"1"	"LO"	"24H"	"2"	"BX"	50.07289326
"2"	"1"	"LO"	"1WK"	"2"	"BX"	45.52032151
"2"	"1"	"LO"	"4WK"	"2"	"BX"	38.31965
"2"	"1"	"LO"	"PRE"	"2"	"CBH"	98.70131301
"2"	"1"	"LO"	"24H"	"2"	"CBH"	29.70402223
"2"	"1"	"LO"	"1WK"	"2"	"CBH"	17.27251005
"2"	"1"	"LO"	"4WK"	"2"	"CBH"	25.20975415
"2"	"1"	"LO"	"PRE"	"2"	"LAP"	796.7853619
"2"	"1"	"LO"	"24H"	"2"	"LAP"	517.9283506
"2"	"1"	"LO"	"1WK"	"2"	"LAP"	431.4069969
"2"	"1"	"LO"	"4WK"	"2"	"LAP"	398.517859
"2"	"1"	"LO"	"PRE"	"2"	"NAG"	93.8077297
"2"	"1"	"LO"	"24H"	"2"	"NAG"	22.12846801
"2"	"1"	"LO"	"1WK"	"2"	"NAG"	27.42807678
"2"	"1"	"LO"	"4WK"	"2"	"NAG"	1.122207604
"2"	"1"	"LO"	"PRE"	"2"	"PER1"	9.75428498
"2"	"1"	"LO"	"24H"	"2"	"PER1"	11.82130337
"2"	"1"	"LO"	"1WK"	"2"	"PER1"	0
"2"	"1"	"LO"	"4WK"	"2"	"PER1"	4.251410743
"2"	"1"	"LO"	"PRE"	"2"	"PEROX"	12.46944493
"2"	"1"	"LO"	"24H"	"2"	"PEROX"	12.87792113
"2"	"1"	"LO"	"1WK"	"2"	"PEROX"	4.069332566
"2"	"1"	"LO"	"4WK"	"2"	"PEROX"	10.85491185
"2"	"1"	"LO"	"PRE"	"2"	"PHENOX"	2.715159953
"2"	"1"	"LO"	"24H"	"2"	"PHENOX"	1.056617764
"2"	"1"	"LO"	"1WK"	"2"	"PHENOX"	6.484874164
"2"	"1"	"LO"	"4WK"	"2"	"PHENOX"	6.603501105
"2"	"1"	"LO"	"PRE"	"2"	"PHOS"	421.1522178
"2"	"1"	"LO"	"24H"	"2"	"PHOS"	0
"2"	"1"	"LO"	"1WK"	"2"	"PHOS"	144.6804568
"2"	"1"	"LO"	"4WK"	"2"	"PHOS"	0
"2"	"1"	"LO"	"PRE"	"3"	"AG"	34.70936827
"2"	"1"	"LO"	"24H"	"3"	"AG"	21.22233846
"2"	"1"	"LO"	"1WK"	"3"	"AG"	7.749072466
"2"	"1"	"LO"	"4WK"	"3"	"AG"	20.20412523
"2"	"1"	"LO"	"PRE"	"3"	"BG"	324.0762042
"2"	"1"	"LO"	"24H"	"3"	"BG"	508.7928781
"2"	"1"	"LO"	"1WK"	"3"	"BG"	340.0198384
"2"	"1"	"LO"	"4WK"	"3"	"BG"	408.0554156
"2"	"1"	"LO"	"PRE"	"3"	"BX"	53.67192284
"2"	"1"	"LO"	"24H"	"3"	"BX"	74.3092836
"2"	"1"	"LO"	"1WK"	"3"	"BX"	15.55328349
"2"	"1"	"LO"	"4WK"	"3"	"BX"	79.15992486
"2"	"1"	"LO"	"PRE"	"3"	"CBH"	22.43856136
"2"	"1"	"LO"	"24H"	"3"	"CBH"	40.31942939
"2"	"1"	"LO"	"1WK"	"3"	"CBH"	12.02876065
"2"	"1"	"LO"	"4WK"	"3"	"CBH"	53.14804912
"2"	"1"	"LO"	"PRE"	"3"	"LAP"	529.7270592
"2"	"1"	"LO"	"24H"	"3"	"LAP"	630.8162283
"2"	"1"	"LO"	"1WK"	"3"	"LAP"	493.5929326
"2"	"1"	"LO"	"4WK"	"3"	"LAP"	546.4262555
"2"	"1"	"LO"	"PRE"	"3"	"NAG"	22.63325263
"2"	"1"	"LO"	"24H"	"3"	"NAG"	9.474333643
"2"	"1"	"LO"	"1WK"	"3"	"NAG"	14.90017848
"2"	"1"	"LO"	"4WK"	"3"	"NAG"	14.64841177
"2"	"1"	"LO"	"PRE"	"3"	"PER1"	5.011918616
"2"	"1"	"LO"	"24H"	"3"	"PER1"	9.902991918
