"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"minN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"
"169"	9	3	"HI"	"PRE"	3	0.519205632	0.195899484	0.715105116	206.2178	11.91450177	417.0681543	45.4042051
"170"	9	3	"HI"	"24H"	3	0.497527093	0.167525472	0.665052565	1365.715924	12.14312758	0	30.2536575
"171"	9	3	"HI"	"1WK"	3	0.541671974	0.277332218	0.819004192	257.4460072	14.8308459	232.1914571	24.13653157
"172"	9	3	"HI"	"4WK"	3	0.742084425	0.076981685	0.81906611	87.05784568	6.385179894	291.7213935	39.11344258
"173"	9	3	"HI"	"PRE"	4	0.553296343	0.235499413	0.788795756	223.9358332	14.93068314	368.9398684	39.2164477
"174"	9	3	"HI"	"24H"	4	0.515933557	0.174144798	0.690078355	319.7999577	18.33711134	241.3949997	28.33253634
"175"	9	3	"HI"	"1WK"	4	0.532156705	0.162988998	0.695145703	240.1268205	9.515128869	254.3144576	6.276969977
"176"	9	3	"HI"	"4WK"	4	0.715716893	0.098317215	0.814034108	98.95388586	6.501333633	250.9354856	46.9157213
"177"	9	3	"HI"	"PRE"	5	0.597066062	0.183474339	0.780540401	188.4593994	11.76356501	298.9443461	37.6716313
"178"	9	3	"HI"	"24H"	5	0.556237045	0.199132577	0.755369622	162.6440764	13.70884439	412.2354904	35.36363055
"179"	9	3	"HI"	"1WK"	5	0.488363831	0.17885869	0.667222521	193.4598408	6.477228729	194.8582435	18.68301005
"180"	9	3	"HI"	"4WK"	5	0.729760561	0	0.729760561	114.6305305	6.535554755	240.762839	37.25345763
"181"	10	4	"HI"	"PRE"	1	0.510947389	0.235632646	0.746580035	245.7393908	12.21868407	425.8766643	38.03082127
"182"	10	4	"HI"	"24H"	1	0.510344354	0.109630616	0.61997497	162.5500636	11.37551146	129.1308099	16.31657422
"183"	10	4	"HI"	"1WK"	1	0.513974606	0.157125801	0.671100407	175.2696253	8.051573031	268.7350327	17.91296924
"184"	10	4	"HI"	"4WK"	1	0.595779158	0.11599587	0.711775028	195.0149629	10.89976132	322.642785	55.16168548
"185"	10	4	"HI"	"PRE"	2	0.530931114	0.249775185	0.780706299	313.8149539	18.96151695	224.4379506	31.22243815
"186"	10	4	"HI"	"24H"	2	0.555135981	0.11435636	0.669492341	152.9251957	10.15290613	196.5607911	20.903797
"187"	10	4	"HI"	"1WK"	2	0.499861218	0.15452771	0.654388928	233.4107812	8.741573229	277.1538216	14.79705458
"188"	10	4	"HI"	"4WK"	2	0.662757015	0.141944087	0.804701102	138.5775024	10.73488048	444.1622586	64.3919375
"189"	10	4	"HI"	"PRE"	3	0.543604815	0.227615959	0.771220774	387.3197356	18.7409244	71.72587697	15.68188228
"190"	10	4	"HI"	"24H"	3	0.498465788	0.154035426	0.652501214	260.5707033	16.73711233	226.8652189	24.74748257
"191"	10	4	"HI"	"1WK"	3	0.603108456	0.18082208	0.783930536	426.5245488	11.44395092	0	6.822147078
